region,channel,product_category,customer_segment,revenue_level,budget_level,reach_level,id,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue,year,month,day,hour
central,social media,Stationery,Premium,medium,high,medium,34,24.75,4.95,0.2262,254.0,4183,0.0126,3.59,0.3660254037844379,30.0,994.0,107.66974597566126,2011,11,17,9
north,social media,Stationery,Premium,high,low,low,35,1.26,0.42,0.2901,89.0,1514,0.0435,2.34,-0.3660254037844385,60.0,1478.41,210.82822183397303,2011,10,28,16
north,social media,Storage,Premium,medium,medium,medium,36,13.2,0.55,0.5009,178.0,2525,0.0042,2.49,-1.0,7.0,8784.960000000001,160.57254682798396,2011,6,24,16
north,affiliate,Kitchen,Premium,low,medium,medium,37,15.3,252.2917584843313,0.1021,98.0,4243,0.1163,6.81,0.3660254037844379,21.0,1433.07,79.09431328290925,2010,11,15,9
north,influencer,General,Premium,medium,medium,low,38,16.6,4.15,0.1146,115.0,1640,0.0325,4.2,-0.3660254037844385,28.0,5252.34,110.00424924583211,2011,10,21,13
north,social media,Stationery,Premium,high,medium,high,39,7.8,1.95,0.1732,658.0,14919,0.0233,2.28,-0.3660254037844387,60.0,100609.5,168.10756814609775,2010,5,6,17
north,email,General,Premium,medium,medium,low,40,15.0,1.25,0.2396,22.0,722,0.0138,2.99,0.9999999999999998,14.0,558.15,104.24743980760228,2009,12,21,12
north,influencer,General,Standard,low,high,medium,41,25.200000000000003,2.1,0.2151,258.0,3440,0.0325,7.58,-1.3660254037844386,60.0,97.15,75.14480549757482,2011,7,14,11
north,social media,Stationery,Premium,high,medium,medium,42,5.04,0.42,0.2429,181.0,3618,0.005,5.12,1.0,28.0,983.08,230.5984913084589,2010,3,31,11
north,email,Stationery,Premium,high,medium,medium,43,10.5,0.42,0.6,201.0,6139,0.0849,5.19,-0.3660254037844387,60.0,958.68,208.49894414469216,2010,5,2,12
north,email,General,Premium,medium,low,low,44,1.25,1.25,0.043,105.0,1692,0.0462,2.02,1.3660254037844388,90.0,34490.4,146.52313064506006,2011,2,2,15
north,tv,General,Premium,low,high,medium,45,1173.5147102404123,0.85,0.0598,164.0,2824,0.0679,6.23,-1.3660254037844386,14.0,3874.690000000001,94.70512278720756,2010,7,25,14
north,influencer,Storage,Premium,high,low,low,46,2.9,0.29,0.5042,269.0,586,0.0327,4.21,0.9999999999999998,7.0,157.85000000000002,296.9179857330081,2009,12,10,20
north,email,Kitchen,Premium,high,medium,low,47,7.800000000000001,0.65,0.4924,209.0,1420,0.1161,0.9,-0.3660254037844387,90.0,1781.44,196.4302304380859,2010,5,9,14
north,tv,General,Premium,medium,high,medium,48,19.8,1.65,0.2774,269.0,4368,0.1125,3.4,-1.3660254037844388,28.0,3708.67,110.52892747219994,2010,8,12,15
north,social media,Seasonal,Premium,high,low,high,49,3.4799999999999995,0.29,0.0651,493.0,14751,0.0389,2.48,-1.3660254037844388,90.0,660.33,365.1898907588556,2010,8,29,11
north,search,Lighting,Premium,medium,medium,low,50,5.9,2.95,0.1883,40.0,654,0.0371,2.1,0.9999999999999998,21.0,1108.71,106.23120017787916,2010,12,3,11
north,affiliate,General,Premium,medium,low,medium,51,1.65,1.65,0.0676,440.0,6741,0.1099,4.06,0.3660254037844379,28.0,776.91,152.48168552524334,2010,11,10,12
north,social media,Storage,Premium,low,medium,medium,52,17.0,4.25,0.356,143.0,5661,0.0221,7.59,-0.3660254037844385,21.0,7396.02,78.97537350308772,2010,10,26,16
north,social media,General,Budget,medium,medium,high,53,12.75,4.25,0.3472,386.0,10060,0.0668,5.55,0.3660254037844379,60.0,52.35,124.1237190267048,2011,11,21,12
north,affiliate,General,Premium,low,medium,high,54,4.95,4.95,0.1651,717.0,11561,0.0137,2.95,1.3660254037844386,30.0,1632.47,90.01188508303309,2011,1,23,12
north,search,Seasonal,Premium,medium,medium,medium,55,15.0,1.25,0.23004464482458684,271.0,3145,0.0057,3.16,0.3660254037844379,21.0,3247.8,155.48374461838884,2010,11,25,12
north,affiliate,General,Standard,high,low,low,56,0.65,0.65,0.0062,169.0,1819,0.0143,1.85,0.3660254037844379,28.0,222.3,179.0156744157328,2011,11,22,11
north,social media,Stationery,Premium,medium,medium,high,57,11.9,2.95,0.4291,269.0,13481,0.1058,5.89,-1.0000000000000002,30.0,1264.0500000000002,101.83179631304704,2010,9,21,13
north,email,Stationery,Premium,medium,medium,high,58,10.2,0.85,0.0692,269.0,11575,0.0435,5.19,0.9999999999999998,7.0,1781.44,159.5924253236466,2009,12,16,10
north,email,General,Premium,medium,low,medium,59,3.3,1.65,0.0192,426.0,6235,0.0077,1.44,-1.3660254037844388,90.0,49498.600000000006,143.76035914497646,2011,8,9,12
north,email,Storage,Premium,low,medium,high,60,15.9,7.95,0.2198,426.0,11175,0.0657,4.004003932226912,-1.0000000000000002,14.0,348.94,61.07365569536073,2010,9,7,14
north,email,Storage,Premium,medium,low,medium,61,3.75,1.25,0.2492,428.0,9533,0.0376,6.79,1.3660254037844388,21.0,4197.01,129.76713367448545,2010,2,25,12
north,search,Stationery,Premium,high,medium,low,62,5.04,0.42,0.0745,125.0,1879,0.0491,9.02,0.9999999999999998,21.0,3479.76,213.65936275821144,2011,12,8,13
north,search,Storage,Premium,medium,low,high,63,2.08,2.08,0.2066,269.0,13498,0.0258,1.02,0.3660254037844379,30.0,1540.77,146.70110589020678,2011,11,15,11
north,influencer,General,Standard,medium,high,medium,64,22.5,3.75,0.0234,426.0,4731,0.0435,3.02,-0.3660254037844387,35.565597137138354,447.56,145.89405235171486,2010,5,9,12
north,social media,General,Premium,low,high,low,65,29.700000000000003,4.95,0.2724,7.0,165,0.0104,5.54,0.3660254037844389,30.0,9674.75,80.24998559761502,2011,4,15,9
north,tv,Storage,Premium,high,high,high,66,49.5,1.65,0.3259,585.0,9677,0.104,1.52,0.3660254037844379,90.0,223.4,168.03329807060618,2010,11,24,15
north,tv,General,Premium,medium,low,low,67,4.2,2.1,0.1885,319.0,1720,0.0943,0.93,0.9999999999999998,60.0,2479.41,151.10987222657977,2010,12,6,12
north,email,Storage,Premium,medium,medium,medium,68,12.6,2.1,0.063,170.0,2579,0.1216,0.32,1.3660254037844388,14.0,649.32,164.0154486176446,2010,2,17,8
north,search,Storage,Premium,medium,high,medium,69,58.5,1.95,0.393,423.0,6538,0.0723,2.42,-1.3660254037844388,60.0,5834.84,100.60907359051416,2011,8,4,14
north,email,Stationery,Standard,low,high,medium,70,30.0,15.0,0.2818,405.0,7075,0.0037,6.42,-1.3660254037844386,14.0,166.2,24.089122839339986,2010,7,25,11
north,social media,General,Premium,medium,medium,high,71,7.649999999999999,2.55,0.0632,601.0,17594,0.0082,4.05,0.9999999999999998,28.0,238.82,152.76906596436996,2009,12,3,16
north,email,General,Premium,high,medium,medium,72,11.9,1.65,0.0192,269.0,8833,0.0312,2.2,0.9999999999999998,30.0,21566.1,168.11393697929762,2010,12,5,12
north,tv,General,Standard,medium,low,high,73,2.95,2.95,0.1236,327.0,13371,0.0643,3.08,0.3660254037844379,90.0,178.1,102.85127731867216,2010,11,12,11
north,email,Kitchen,Premium,low,medium,low,74,15.0,1.25,0.23004464482458684,81.0,1735,0.0748,7.61,-1.3660254037844388,21.0,9912.78,93.77815766414489,2011,8,26,15
north,social media,Stationery,Premium,high,medium,medium,75,10.08,0.42,0.0977,177.0,9379,0.0385,6.18,-0.3660254037844385,21.0,1845.17,228.6913529453296,2010,10,7,11
north,tv,Kitchen,Premium,low,medium,medium,76,17.85,5.95,0.3718,179.0,2960,0.067,2.32,-0.3660254037844385,7.0,3146.44,87.88831241124456,2010,10,14,11
north,email,Storage,Premium,high,high,high,77,1487.8227442094617,1.95,0.363,506.0,11583,0.0215,1.65,0.3660254037844379,35.565597137138354,4323.620000000001,192.09614019864924,2010,11,25,13
north,email,Lighting,Standard,medium,low,low,78,3.4,0.85,0.1894,74.0,899,0.0435,6.89,-0.3660254037844385,60.0,1791.63,119.88402204815849,2011,10,25,14
north,social media,General,Premium,low,medium,low,79,6.95,6.95,0.0527,145.0,1725,0.0839,4.19,-1.0000000000000002,7.0,1781.44,72.13506321040839,2010,9,5,16
north,email,General,Standard,low,medium,low,80,11.9,1.25,0.1123,35.0,-449,0.132,6.51,-1.3660254037844388,28.0,186.4,91.20498990127932,2010,8,8,15
north,email,General,Premium,low,medium,medium,81,15.0,3.75,0.4381,289.0,5861,0.0244,6.85,1.0,90.0,164.6,93.249925392246,2011,3,29,11
north,search,Storage,Premium,medium,medium,high,82,11.8,2.95,0.1708,1490.0,59054,0.0078,3.12,-0.3660254037844387,90.0,1084.85,150.41523810216714,2010,5,20,19
north,search,Storage,Premium,medium,medium,medium,83,5.0,1.25,0.1571,500.0,8264,0.0479,6.81,0.3660254037844379,14.0,1846.44,163.75796790641118,2010,11,15,12
north,social media,General,Premium,high,medium,medium,84,15.0,3.75,0.1378,360.0,5445,0.0511,0.18,0.3660254037844389,90.0,74.75999999999999,172.47005388592896,2010,4,15,16
north,search,General,Standard,low,low,low,85,1.25,1.25,0.1657,23.0,539,0.0124,4.61,-1.0,14.0,443.34,70.77154353666019,2010,6,21,16
north,affiliate,General,Premium,medium,high,medium,86,34.56,0.72,0.2594,183.0,5215,0.0028,4.004003932226912,-1.3660254037844386,7.0,15137.43,107.06849761913875,2011,7,22,12
north,influencer,Stationery,Premium,medium,low,high,87,3.75,1.25,0.2698,214.0,11206,0.0454,3.95,0.3660254037844379,30.0,1781.44,159.07193321984417,2011,11,7,11
north,email,Kitchen,Budget,high,medium,medium,88,10.2,0.85,0.23004464482458684,328.0,4212,0.0461,3.67,-0.3660254037844387,35.565597137138354,120.0,187.5418633824177,2010,5,12,9
north,email,General,Premium,medium,high,medium,89,22.5,3.75,0.3085,160.0,3857,0.1141,1.33,-1.3660254037844386,28.0,69340.38,106.74117239083104,2010,7,1,8
north,search,Seasonal,Premium,medium,low,medium,90,3.9,1.95,0.0303,276.0,6508,0.0497,8.34,1.3660254037844388,14.0,674.3199999999999,121.80743504087545,2010,2,12,15
north,social media,General,Premium,medium,high,low,91,29.700000000000003,4.95,0.1901,269.0,810,0.0224,3.79,0.9999999999999998,7.0,4030.77,116.3761953310046,2010,12,6,13
central,social media,Stationery,Standard,low,high,medium,92,40.5,6.75,0.1211,183.0,3066,0.128,5.07,-1.0,28.0,517.55,71.75392404949568,2011,6,5,12
north,tv,General,Premium,medium,high,medium,93,25.200000000000003,2.1,0.0332,521.0,8420,0.0355,7.88,-1.0000000000000002,60.0,5631.04,105.91848356318484,2011,9,28,14
north,social media,Seasonal,Premium,medium,high,medium,94,60.0,1.25,0.568,280.0,5277,0.0023,1.32,-1.3660254037844388,60.0,1031.64,113.67510715729902,2010,8,19,12
north,search,General,Premium,medium,medium,medium,95,11.9,1.25,0.0201,170.0,4138,0.008,6.75,0.9999999999999998,30.0,69806.44,149.49387781935312,2011,12,6,14
north,tv,Seasonal,Premium,medium,high,medium,96,19.8,1.65,0.1365,269.0,7215,0.0384,4.84,0.3660254037844379,28.0,4803.1900000000005,116.70670642439728,2011,11,24,10
north,email,General,Premium,medium,high,medium,97,19.9,9.95,0.07,201.0,2708,0.02,1.46,0.3660254037844379,90.0,18232.78,114.88939319299256,2010,11,22,11
north,social media,General,Premium,high,low,medium,98,1.65,0.55,0.0505,443.0,3948,0.1376,4.7,0.9999999999999998,14.0,7326.07,289.58122281112054,2010,12,6,13
north,email,Storage,Standard,medium,medium,medium,99,10.0,1.25,0.2954,568.0,7583,0.1195,3.53,-1.3660254037844386,35.565597137138354,13.95,136.8958718814,2011,7,7,12
north,search,Storage,Premium,low,high,medium,100,19.9,9.95,0.4356,346.0,6926,0.0341,5.72,-1.0,30.0,1125.9,43.86334497538597,2010,6,1,9
north,search,General,Premium,high,high,medium,101,70.80000000000001,2.95,0.1953,122.0,5577,0.2216,4.73,1.3660254037844388,90.0,31157.501,222.55698023294997,2011,2,1,13
north,search,Storage,Premium,high,low,medium,102,2.75,0.55,0.0935,528.0,9122,0.137,3.04,-0.3660254037844387,60.0,2821.5,299.6649792559018,2010,5,24,11
north,tv,General,Standard,low,medium,medium,103,8.5,8.5,0.1817,265.0,4137,0.0703,2.89,0.3660254037844389,21.0,2427.01,95.14830952808413,2011,4,1,14
north,influencer,Stationery,Premium,medium,medium,medium,104,15.9,7.95,0.2041,281.0,8886,0.0197,1.4,-0.3660254037844387,60.0,4064.65,124.6440018488217,2011,5,4,13
north,email,Storage,Premium,medium,high,medium,105,41.6,2.08,0.1084,230.0,5558,0.068,7.22,0.9999999999999998,7.0,5632.14,136.08984957515486,2011,12,7,0
north,search,General,Premium,high,low,high,106,0.95,0.95,0.1811,800.0,13996,0.0483,4.56,-1.0,7.0,9029.63,181.1193342335036,2011,6,2,17
north,email,General,Premium,medium,high,high,107,25.200000000000003,2.1,0.3408,438.0,16145,0.0744,2.35,0.3660254037844379,90.0,3988.11,138.27180896208114,2011,11,9,13
north,email,Seasonal,Premium,medium,low,high,108,2.5,1.25,0.0984,280.0,9759,0.0874,8.31,0.9999999999999998,28.0,531.26,146.61691179358488,2010,12,19,14
north,social media,Seasonal,Premium,high,low,high,109,3.3,1.65,0.0596,886.0,14238,0.0164,2.49,0.3660254037844379,30.0,1220.11,180.14491556095183,2011,11,30,14
north,email,Kitchen,Premium,low,medium,medium,110,15.3,2.55,0.314,266.0,7949,0.0022,5.04,-1.3660254037844386,60.0,1157.77,62.28533295012313,2010,7,28,17
north,search,General,Premium,low,low,low,111,1.65,1.65,0.2265,90.0,816,0.0069,3.23,-1.0,28.0,2516.49,96.19164378672345,2010,6,27,12
north,social media,Seasonal,Premium,medium,high,high,112,35.7,5.95,0.3967,661.0,17572,0.08,2.05,1.0,28.0,490.93,149.92276426180163,2010,3,15,16
north,influencer,Kitchen,Standard,low,medium,low,113,6.75,6.75,0.5384,19.0,470,0.0232,5.45,0.9999999999999998,7.0,360.79,55.99707121999684,2009,12,2,12
north,tv,General,Premium,high,low,medium,114,3.4799999999999995,0.29,0.0898,319.0,7303,0.0435,3.43,-1.0,30.0,33884.850000000006,246.96710537657964,2011,6,21,9
north,search,Storage,Budget,medium,medium,high,115,19.5,1.95,0.3682,601.0,11723,0.006,4.55,1.3660254037844388,14.0,114.5,125.0398427303047,2011,2,6,14
north,affiliate,General,Premium,medium,low,medium,116,3.95,3.95,0.1467,216.0,4023,0.0661,2.05,0.9999999999999998,35.565597137138354,18446.75,110.71588294549652,2010,12,1,16
north,search,Storage,Premium,medium,high,medium,117,19.8,4.95,0.2825,172.0,6412,0.0435,2.78,0.3660254037844389,30.0,6196.6900000000005,100.444350149336,2011,4,14,12
north,search,Storage,Standard,medium,low,high,118,2.08,2.08,0.4269,978.0,12541,0.1476,5.9,-1.3660254037844386,60.0,13.36,118.66795033951875,2011,7,20,13
north,search,Storage,Premium,high,medium,high,119,19.5,1.95,0.0258,506.0,17588,0.097,4.004003932226912,-1.0,90.0,1193.38,168.6263822883833,2010,6,28,12
north,affiliate,General,Premium,high,low,low,120,4.68,0.39,0.0636,161.0,1552,0.0263,4.47,-0.3660254037844385,7.0,2238.83,198.19324307188265,2011,10,13,11
north,search,Storage,Premium,medium,high,low,121,1127.0782622908362,10.95,0.2338,186.0,1898,0.0561,4.09,0.3660254037844379,28.0,107996.14,151.39805753142147,2011,11,1,12
north,search,Storage,Premium,medium,low,high,122,2.95,2.95,0.114,701.0,62096,0.0488,3.21,1.0,21.0,1753.8,138.8524135752039,2011,3,27,15
north,affiliate,General,Premium,high,high,high,123,20.0,1.25,0.042,310.0,9639,0.1048,6.25,1.3660254037844386,90.0,12424.62,183.23793580480336,2011,1,14,10
north,search,Seasonal,Premium,high,medium,medium,124,5.1,0.85,0.1844,384.0,5495,0.1023,1.85,-0.3660254037844387,7.0,2905.9,214.87649309748872,2011,5,8,11
north,social media,General,Premium,high,low,medium,125,0.58,0.29,0.1797,222.0,5016,0.061,6.17,-1.3660254037844386,7.0,1533.24,267.39072472106824,2011,7,14,13
north,affiliate,Seasonal,Premium,medium,medium,medium,126,10.2,0.85,0.2257,222.0,7324,0.0519,6.24,0.3660254037844389,28.0,10209.04,141.34600113880683,2010,4,28,9
north,tv,General,Premium,low,medium,medium,127,8.3,4.15,0.6,204.0,3462,0.0119,4.004003932226912,-0.3660254037844387,14.0,16621.85,52.22028240341557,2011,5,9,13
north,tv,General,Premium,medium,low,medium,128,1.45,1.45,0.3151,269.0,9478,0.0129,2.04,1.3660254037844388,21.0,1942.78,106.18954400131923,2011,2,14,14
north,affiliate,Lighting,Premium,low,medium,medium,129,14.85,4.95,0.4857,126.0,2743,0.0462,3.46,1.0,60.0,8117.48,82.17808265235105,2010,3,28,11
north,search,General,Premium,medium,high,low,130,127.5,2.55,0.1036,263.0,1757,0.0031,7.36,0.3660254037844379,7.0,1669.9,122.1488666745475,2010,11,30,10
north,email,Storage,Premium,high,high,medium,131,39.0,1.95,0.1378,450.0,7468,0.0423,0.64,0.9999999999999998,60.0,995.08,192.15330322178056,2009,12,3,10
north,social media,General,Standard,high,high,high,132,1447.1906760909867,12.75,0.021,1314.0,20968,0.0148,5.17,0.3660254037844389,35.565597137138354,2827.94,177.6191113590734,2011,4,1,14
north,affiliate,General,Premium,medium,high,medium,133,121.68,1.69,0.2501,323.0,5170,0.1023,4.85,1.0,14.0,5130.4800000000005,164.50280185056928,2010,3,9,17
north,affiliate,Storage,Premium,low,medium,high,134,8.850000000000001,2.95,0.0588,744.0,41615,0.0188,7.5,-0.3660254037844385,21.0,335.3,95.9235897113047,2010,10,12,13
north,affiliate,General,Premium,low,medium,low,135,15.3,2.55,0.0165,9.0,96,0.004,4.18,1.3660254037844386,7.0,1530.1699999999998,69.98711818973855,2010,1,28,17
north,search,General,Premium,low,medium,low,136,9.95,9.95,0.2822,148.0,2389,0.0324,5.7,0.9999999999999998,60.0,5828.52,95.6188447181977,2010,12,5,13
north,social media,General,Premium,medium,high,medium,137,23.8,5.95,0.117,135.0,3118,0.0172,4.004003932226912,-0.3660254037844385,60.0,3607.33,109.38785864458326,2011,10,24,10
north,search,Storage,Premium,high,medium,high,138,13.2,0.55,0.4569,269.0,11184,0.0069,4.85,-0.3660254037844385,21.0,1781.44,188.26852820407944,2010,10,21,18
north,social media,General,Premium,low,medium,high,139,11.9,4.15,0.2426,433.0,9777,0.0466,3.65,-1.0000000000000002,21.0,6010.92,99.75853024613714,2011,9,16,13
north,email,General,Premium,medium,medium,medium,140,5.8,1.45,0.2248,404.0,3196,0.0835,4.5,-1.0000000000000002,28.0,28795.03,153.06105553638852,2011,9,5,17
north,email,Storage,Premium,medium,medium,medium,141,16.5,1.65,0.2514,401.0,9024,0.0258,0.88,-1.0000000000000002,7.0,9764.07,125.45276801954068,2011,9,23,12
north,tv,General,Premium,low,medium,low,142,11.9,2.95,0.5476,98.0,1040,0.082,8.31,-1.3660254037844388,90.0,295.35,45.04660197363286,2010,8,8,14
north,affiliate,General,Premium,medium,medium,high,143,14.85,4.95,0.0752,717.0,10758,0.0008,3.12,0.9999999999999998,30.0,7676.6,119.38215296930896,2010,12,2,8
north,email,General,Premium,low,high,high,144,22.47,7.49,0.1066,357.0,17305,0.0279,3.47,-1.0,30.0,3283.8,77.5728678518456,2010,6,6,14
north,search,General,Standard,medium,medium,high,145,15.8,3.95,0.159,394.0,14862,0.0389,1.02,-1.0000000000000002,90.0,534.01,130.19228064486165,2011,9,28,10
north,search,General,Premium,medium,medium,medium,146,10.15,251.22084828028773,0.2505,355.0,2523,0.2242,2.09,-1.3660254037844386,30.0,1781.44,105.03306782825658,2010,7,27,10
north,social media,Kitchen,Premium,medium,medium,medium,147,11.25,3.75,0.0559,205.0,6804,0.0197,3.72,1.3660254037844386,90.0,71.65,142.66249238737836,2010,1,27,16
north,affiliate,General,Premium,medium,low,low,148,0.95,0.19,0.0779,19.0,164,0.0268,0.77,-0.3660254037844385,14.0,9218.35,154.23799274499322,2010,10,6,12
north,email,General,Standard,high,medium,medium,149,15.6,0.65,0.0759,460.0,4878,0.1191,4.61,0.3660254037844389,60.0,250.45,246.53251896428583,2011,4,19,13
north,social media,Storage,Standard,medium,low,low,150,4.2,2.1,0.3098,131.0,1862,0.0435,3.1,0.9999999999999998,35.565597137138354,559.44,118.9734563416054,2010,12,1,12
north,social media,Kitchen,Premium,medium,medium,low,151,9.95,9.95,0.4567,45.0,891,0.1676,5.23,0.9999999999999998,90.0,3015.81,132.8874054569265,2009,12,14,11
north,search,General,Premium,low,high,low,152,24.96,2.08,0.1379,111.0,2179,0.0178,5.63,-1.0000000000000002,7.0,1830.84,75.16291160473955,2011,9,22,13
north,email,Stationery,Premium,medium,high,high,153,46.8,0.65,0.23004464482458684,363.0,14893,0.0216,5.88,-1.3660254037844386,14.0,1269.31,127.32293256557756,2011,7,18,10
north,search,Stationery,Premium,medium,high,medium,154,49.5,4.95,0.0955,254.0,3696,0.1397,7.48,-0.3660254037844385,60.0,1742.48,132.32233718536298,2011,10,10,9
north,affiliate,General,Premium,medium,medium,medium,155,5.9,2.95,0.6,631.0,7002,0.1415,1.26,-0.3660254037844385,28.0,1945.12,127.78147995484976,2011,10,16,15
north,tv,General,Premium,low,low,medium,156,4.13,4.13,0.3319,228.0,5634,0.0325,2.94,0.9999999999999998,90.0,56327.08,89.4444742675176,2011,12,5,17
north,tv,General,Premium,low,medium,low,157,11.9,5.95,0.6,64.0,2336,0.0045,5.44,-0.3660254037844385,21.0,1175.98,37.831896790584366,2011,10,30,14
north,email,General,Premium,low,medium,medium,158,5.8,1.45,0.414,304.0,5691,0.0234,6.48,-1.3660254037844388,7.0,1940.62,85.38983367481907,2010,8,24,17
north,search,Kitchen,Premium,medium,medium,medium,159,8.94,1.49,0.0208,183.0,3562,0.0435,4.41,1.3660254037844388,60.0,4712.11,162.633795146881,2011,2,21,9
